IPAPI.com,IPStack,IP_Address,Y/N
Bhimavaram,Ozar,117.211.168.85,0
Bhimavaram,Ozar,117.211.168.84,0
Surat,K?thor,117.198.188.153,0
Mumbai,Silvassa,42.106.200.121,0
Bhuj,S?yla,117.240.137.68,0
Ahmedabad,Soj?tra,157.32.230.29,0
Ahmedabad,Soj?tra,157.32.96.154,0
Ahmedabad,Soj?tra,157.32.84.110,0
Ahmedabad,Golana,157.32.82.32,0
Ahmedabad,Soj?tra,157.32.18.108,0
Rajkot,R?jkot,117.223.70.45,0
Veraval,R?jkot,117.223.69.136,0
Rajkot,Bagasra,117.223.64.28,0
Rajkot,Gondal,117.198.171.120,0
Rajkot,Sultanpur,117.198.163.44,0
Rajkot,Sultanpur,117.198.160.124,0
Rajkot,Sultanpur,59.88.128.228,0
Rajkot,Ahmedabad,43.252.117.100,0
Gandhinagar,Gandhinagar,180.211.126.94,1
Bhilai,Durg,117.247.61.246,0
Bhilai,Durg,117.247.61.136,0
Ahmedabad,Ahmedabad,103.244.121.125,1
Ahmedabad,Ahmedabad,180.211.110.98,1
Ahmedabad,Ahmedabad,59.88.126.56,1
Ahmedabad,Ahmedabad,59.88.124.188,1
Vadodara,Vadodara,27.109.24.163,1
Mumbai,Amleshwar,223.184.133.179,0
Palanpur,P?lanpur,59.97.235.76,0
Vadodara,Vadodara,103.12.192.243,1
Anand,Anand,202.129.240.14,1
Ahmedabad,Wataman,157.32.123.5,0
Ahmedabad,Vasa,157.32.10.249,0
Ahmedabad,Khambh?t,49.34.79.143,0
Anand,Anand,43.242.123.108,1
Anand,Anand,43.242.123.107,1
Anand,Anand,43.242.123.80,1
Anand,Anand,43.242.123.64,1
Ahmedabad,P?tan,14.139.111.100,0
Ahmedabad,P?tan,14.139.111.99,0
Unjha,Ahmedabad,27.109.27.162,0
Ahmedabad,Ahmedabad,202.131.110.18,1
Ahmedabad,Gandhinagar,202.131.110.2,0
Ahmedabad,Ahmedabad,202.131.110.34,1
Chhapi,M?nsa,14.139.122.245,0
Chhapi,M?nsa,14.139.122.255,0
Chhapi,M?nsa,14.139.122.242,0
Chhapi,M?nsa,14.139.122.241,0
Chhapi,M?nsa,14.139.122.244,0
Chhapi,M?nsa,14.139.122.247,0
Ahmedabad,Soj?tra,157.32.206.234,0
Bharuch,Anand,117.204.223.17,0
Surat,Surat,202.71.21.208,1
Vadodara,New Delhi,103.108.207.18,0
Surat,Surat,219.91.236.45,1
Surat,Surat,203.109.83.213,1
Surat,Surat,116.74.101.207,1
Surat,Surat,116.73.214.119,1
Chikhli,Gandevi,45.248.32.251,0
Bilimora,Gandevi,103.19.249.163,0
Surat,Surat,103.37.180.177,1
Surat,Surat,45.126.144.215,1
Surat,Surat,43.248.39.95,1
Randhikpur,Dohad,117.215.108.1,0
Jhalod,Dohad,117.215.107.157,0
Jhalod,Dohad,117.215.107.74,0
Jhalod,Limkheda,117.215.107.3,0
Amod,H?lol,117.215.106.14,0
Garbara,Kulli,117.215.105.222,0
Garbara,H?lol,117.215.105.201,0
Bhe,Kulli,117.215.102.160,0
Limdi,Morwa,117.215.99.100,0
Limdi,Kulli,117.215.98.180,0
Limdi,Godhra,117.215.98.163,0
Garbara,Kulli,117.215.96.78,0
Limdi,Devgadh B?riya,117.215.100.98,0
Surat,Surat,219.91.143.242,1
Bardoli,B?rdoli,103.249.24.43,0
Surat,Surat,123.201.228.163,1
Surat,Surat,123.201.228.49,1
Surat,Surat,123.201.227.126,1
Surat,Surat,123.201.225.138,1
Surat,Surat,202.71.21.194,1
Surat,Surat,116.74.94.43,1
Surat,Surat,139.5.23.40,1
Surat,Surat,139.5.22.207,1
Surat,Surat,139.5.21.33,1
Surat,Surat,139.5.20.239,1
Surat,Surat,139.5.20.116,1
Surat,Surat,123.201.225.140,1
Surat,Surat,103.60.210.86,1
Surat,Surat,103.60.210.40,1
Surat,Surat,103.60.209.78,1
Surat,Surat,103.60.208.166,1
Surat,Surat,103.60.208.142,1
Surat,Surat,103.37.183.36,1
Surat,Surat,103.37.181.91,1
Surat,Surat,103.17.83.68,1
Surat,Surat,103.17.82.38,1
Surat,Surat,103.17.81.249,1
Surat,Surat,103.17.80.53,1
Surat,Surat,45.126.144.222,1
Surat,Surat,43.248.39.38,1
Surat,Surat,43.248.38.216,1
Surat,Surat,43.248.37.143,1
Surat,Surat,43.248.36.167,1
Surat,B?rdoli,117.198.186.211,0
Surat,Ahmedabad,150.129.113.117,0
Navsari,Navsari,36.255.227.39,1
Surat,Surat,116.72.1.92,1
Surat,Surat,117.218.16.164,1
Sagwara,Ahmedabad,27.54.181.44,0
Surat,Ahmedabad,27.54.181.205,0
Rajkot,Ahmedabad,43.252.62.252,0
Valsad,Vals?d,103.201.144.151,0
Surat,Surat,103.39.131.76,1
Ahmedabad,Soj?tra,157.32.174.54,0
Ahmedabad,Soj?tra,103.234.162.233,0
Ahmedabad,Soj?tra,49.34.41.97,0
Surat,B?rdoli,103.100.16.177,0
Bilimora,Ahmedabad,150.129.113.196,0
Ankleshwar,Ankleshwar,150.129.113.59,1
Surat,K?thor,103.238.108.187,0
Surat,K?thor,103.238.108.84,0
Ahmedabad,Soj?tra,103.234.162.224,0
Bilimora,Ahmedabad,150.129.113.191,0
Surat,Ahmedabad,150.129.113.119,0
Surat,Ahmedabad,150.129.113.84,0
Godhra,Bhar?ch,117.218.146.164,0
Surat,Surat,103.240.76.186,1
Surat,Surat,103.240.76.143,1
Surat,Surat,103.240.76.93,1
Surat,Surat,103.240.76.71,1
Surat,Surat,103.240.76.26,1
Vadodara,Vadodara,203.187.238.88,1
Vadodara,Vadodara,203.187.238.83,1
Vadodara,Vadodara,203.88.145.7,1
Amravati,Amr?vati,117.247.150.197,0
Amravati,Amr?vati,117.247.150.78,0
Amravati,Amr?vati,117.247.150.77,0
Amravati,Amr?vati,117.247.150.43,0
Amravati,Amr?vati,117.247.150.30,0
Surat,Surat,202.47.119.33,1
Surat,Amroli,117.198.190.34,0
Surat,Surat,123.201.225.187,1
Surat,Surat,123.201.1.206,1
Valsad,Dharampur,103.249.121.224,0
Randhikpur,Dohad,117.215.108.59,0
Bharuch,Bhar?ch,103.238.109.51,0
Ahmedabad,Vasa,27.61.136.60,0
Surat,Surat,202.47.119.15,1
Valsad,Vals?d,103.249.123.59,0
Valsad,Dharampur,103.249.122.116,0
Valsad,Dharampur,103.249.121.195,0
Valsad,Vals?d,103.201.145.71,0
Valsad,Vals?d,103.201.145.8,0
Valsad,Vals?d,43.254.215.44,0
Valsad,Vals?d,43.254.215.11,0
Valsad,Vals?d,43.254.213.105,0
Valsad,Vals?d,43.254.213.49,0
Navsari,Surat,202.71.12.244,0
Vyara,Vy?ra,45.114.80.159,0
Vyara,Vy?ra,45.114.80.127,0
Ahmedabad,Soj?tra,49.34.102.165,0
Surat,Ahmedabad,202.47.116.121,0
Surat,Surat,202.47.119.21,1
Surat,Surat,219.91.236.102,1
Ahmedabad,Soj?tra,157.32.230.83,0
Bhopal,Ashta,27.56.252.124,0
Vapi,Vapi,103.36.82.94,1
Vapi,Vapi,103.36.82.66,1
Ahmedabad,Soj?tra,157.32.197.42,0
Randhikpur,Dohad,117.215.109.2,0
Garbara,Kulli,117.215.104.210,0
Babrol,Vejalpur,117.215.101.45,0
Surat,Soj?tra,49.34.145.190,0
Surat,Surat,219.91.236.57,1
Surat,Surat,123.201.227.249,1
Surat,Surat,123.201.227.216,1
Surat,B?rdoli,103.81.211.87,0
Jhalod,Limkheda,117.215.107.35,0
Limdi,Devgadh B?riya,117.215.99.58,0
Rajkot,Sultanpur,117.198.171.92,0
Rajkot,Sultanpur,117.198.169.254,0
Rajkot,Sultanpur,117.198.168.105,0
Rajkot,Sultanpur,117.198.161.90,0
