Village_Name,State_Name,District_Name,Block_Name,Pincode
DULHINDEEH,uttar pradesh,BALRAMPUR,GAINSARI,271606
DUMERGUDA,odisha,KALAHANDI,DHARAMGARH,766029
DUMRI,jharkhand,PALAMU,MANATU,845102
DUMRI KHURD,bihar,SITAMARHI,MAJORGANJ,843315
DUNGRIDIHI,odisha,SUNDERGARH,HEMGIRI,770013
EKDARI MANGALPUR,bihar,PASHCHIM CHAMPARAN,SIKTA,845307
EKTA,jharkhand,PALAMU,SATBARWA,822126
EPILSINGI,jharkhand,PASHCHIMI SINGHBHUM,MANJHARI,833201
FATEH NAGRA,uttar pradesh,BALRAMPUR,TULSIPUR,271208
FATTAY JOT,uttar pradesh,BALRAMPUR,BALRAMPUR,271604
FIROZPUR,uttar pradesh,BALRAMPUR,REHRA BAZAR,271607
G.DHEPAGUDA,odisha,RAYAGADA,GUDARI,765026
GAGANAPUR,odisha,KORAPUT,JEYPORE,764001
GAHORA,jharkhand,PALAMU,PIPRA,822113
GAMBHARIGUDA,odisha,NABARANGPUR,CHANDAHANDI,766015
GANDHARLLA,odisha,BOLANGIR,BANGOMUNDA,767035
GANESHPUR,uttar pradesh,BALRAMPUR,TULSIPUR,822122
GANGASAGAR,odisha,BOLANGIR,PATNAGARH,767025
GANGDA,jharkhand,PASHCHIMI SINGHBHUM,MANOHARPUR,833213
GANGWARA,bihar,SITAMARHI,RUNNI SAIDPUR,847303
GANJRA,jharkhand,PASHCHIMI SINGHBHUM,SADAR CHAIBASA,833201
GANKE,jharkhand,PALAMU,DALTONGANJ,822101
GARDHWA KALAN,uttar pradesh,BALRAMPUR,TULSIPUR,271208
GARHIATOL WD NO 5,bihar,SITAMARHI,DUMRA,843301
GARJAN,odisha,BOLANGIR,BALANGIR,767048
GAURA,bihar,SITAMARHI,NANPUR,843326
GENTHA,jharkhand,PALAMU,LESLIGANJ,822118
GHAGHRJOR,jharkhand,DEOGHAR,SARATH,815353
GHATOBAGRA,odisha,KORAPUT,JEYPORE,764002
GHOGHA,bihar,PASHCHIM CHAMPARAN,CHANPATIA,845449
GHOGRAHA,bihar,SITAMARHI,BATHNAHA,843317
GHOSADA,odisha,MAYURBHANJ,KARANJIA,757037
GHOSIYAR,uttar pradesh,BALRAMPUR,BALRAMPUR,271201
GHUSURAMUNDA,odisha,BOLANGIR,MURIBAHAL,767020
GIDHRAIYA,uttar pradesh,BALRAMPUR,BALRAMPUR,271604
GIDIBAS,jharkhand,PASHCHIMI SINGHBHUM,TANTNAGAR,833201
