Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Kanker,Kanker,Kanker,28,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Nandurbar,Nandurbar,Nandurbar,79,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Karur,Karur,Karur,120,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Theni,Theni,Theni,89,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Coonoor,Coonoor,Coonoor,20,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sindhanur,Sindhanur,Sindhanur,19,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Shrirampur,Shrirampur,Shrirampur,37,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sawantwadi,Sawantwadi,Sawantwadi,73,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ramanathapuram,Ramanathapuram,Ramanathapuram,53,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ramagundham,Ramagundham,Ramagundham,67,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Narwana,Narwana,Narwana,23,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Paonta Sahib,Paontasahib,Paontasahib,20,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Pinjore,Pinjore,Pinjore,63,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Pinjore,Kalka,Kalka,34,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Betul,Betul,Betul,48,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Barwala,Barwala,Barwala,25,Week 09-2023,2023-03-02,2023-03-02 08:50:53
