,0,1,2
522,colour merchants co op bank,colour merchants co op bank,True
523,commercial co op bank kolhapur,commercial co op bank kolhapur,True
524,contai co op bank,contai co op bank,True
525,cooperatieve centrale raiffeisen boerenleenbank ba,cooperatieve centrale raiffeisen boerenleenbank ba,True
526,cooperatieve rabobank ua,cooperatieve rabobank ua,True
527,cooperative bank of mehsana,cooperative bank of mehsana,True
528,cooperative bank of rajkot,cooperative bank of rajkot,True
529,cuddalore district central co op bank,cuddalore district central co op bank,True
530,dahod mercantile co op bank,dahod mercantile co op bank,True
531,dahod urban co op bank dahod,dahod urban co op bank dahod,True
532,dakshin bihar gramin bank,dakshin bihar gramin bank,True
533,dapoli urban co op bank,dapoli urban co op bank,True
534,dausa urban co op bank,dausa urban co op bank,True
535,davangere urban co op bank,davangere urban co op bank,True
536,davangereharihara urban sahakari bank niyamit davangere,davangereharihara urban sahakari bank niyamit davangere,True
537,dccb srikakulam,dccb srikakulam,True
538,deendayal nagari sahakari bank,deendayal nagari sahakari bank,True
539,dhanbad central co op bank,dhanbad central co op bank,True
540,dhanera mercantile co op bank,dhanera mercantile co op bank,True
541,dharmapuri district central co op bank,dharmapuri district central co op bank,True
542,dindigul central co op bank,dindigul central co op bank,True
543,district central co op bank warangal,district central co op bank warangal,True
544,district co op central bank eluru,district co op central bank eluru,True
545,district co op central bank khammam,district co op central bank khammam,True
546,district co op central bank krishna,district co op central bank krishna,True
547,district co op central bank srikakulam,district co op central bank srikakulam,True
548,district co op central bank visakhapatnam,district co op central bank visakhapatnam,True
549,eenadu co op urban bank,eenadu co op urban bank,True
550,erode district central co op bank,erode district central co op bank,True
551,financial co op bank,financial co op bank,True
552,fingrowth co op bank,fingrowth co op bank,True
553,g s mahanagar co op bank,g s mahanagar co op bank,True
554,gandhi gunj co op bank,gandhi gunj co op bank,True
555,gandhidham co operative bank,gandhidham co operative bank,True
556,gandhidham mercantile co op bank,gandhidham co operative bank,False
557,gandhinagar nagarik co op bank,gandhinagar nagarik co op bank,True
558,gandhinagar urban co op bank,gandhinagar nagarik co op bank,False
559,godavari urabn co op bank nashik,godavari urabn co op bank nashik,True
560,godhra urban co op bank,godhra urban co op bank,True
561,goldman sach india,goldman sach india,True
562,gujarat ambuja co op bank,gujarat ambuja co op bank,True
563,guntur co op urban bank,guntur co op urban bank,True
564,guntur district co op central bank,guntur co op urban bank,False
565,himatnagar nagrik sahakari bank,himatnagar nagrik sahakari bank,True
566,honavar urban co op bank,honavar urban co op bank,True
567,hooghly district central co operative bank,hooghly district central co operative bank,True
568,idbi cap market services,idbi cap market services,True
569,indian clearing corporation,indian clearing corporation,True
570,indore cloth market co op bank,indore cloth market co op bank,True
571,indore paraspar sahakari bank indore,indore paraspar sahakari bank indore,True
572,indraprastha sehkari bank,indraprastha sehkari bank,True
573,indrayani co op bank,indrayani co op bank,True
574,j & k grameen bank,j & k grameen bank,True
575,jain sahakari bank,jain sahakari bank,True
576,jaipur central co op bank,jaipur central co op bank,True
577,jalna merchants co op bank,jalna merchants co op bank,True
578,jalore nagrik sahakari bank,jalore nagrik sahakari bank,True
579,jamia co op bank,jamia co op bank,True
580,jamkhandi urban co op bank,jamkhandi urban co op bank,True
581,jamnagar peoples co op bank,jamnagar peoples co op bank,True
582,jampeta co op urban bank,jampeta co op urban bank,True
583,janaseva sahakari bank hadapsarpune,janaseva sahakari bank hadapsarpune,True
584,janata co op bank malegaon,janata co op bank malegaon,True
585,jandk grameen bank,jandk grameen bank,True
586,jandk state co op bank,jandk state co op bank,True
587,jhajjar central co op bank,jhajjar central co op bank,True
588,jijamata mahila sah bank pune,jijamata mahila sah bank pune,True
589,jila sahakari kendriya bank maryadit durg,jila sahakari kendriya bank maryadit durg,True
590,jila sahakari kendriya bank maryadit jagdalpur,jila sahakari kendriya bank maryadit durg,False
591,jila sahakari kendriya bank maryadit khargone,jila sahakari kendriya bank maryadit durg,False
