js_file,company,count
bank_2,aditya birla idea payments bank,1
bank_2,airtel payments bank,2
bank_2,american express,3
bank_2,au small finance bank,3
bank_2,axis bank,4
bank_2,bandhan bank,1
bank_2,bank of america,2
bank_2,bank of baroda,4
bank_2,bank of india,4
bank_2,bank of maharashtra,4
bank_2,barclays bank,3
bank_2,canara bank,4
bank_2,capital small finance bank,1
bank_2,central bank of india,4
bank_2,citi bank,2
bank_2,city union bank,4
bank_2,csb bank,3
bank_2,dbs bank,4
bank_2,dcb bank,3
bank_2,deutsche bank,3
bank_2,dhanlaxmi bank,3
bank_2,equitas small finance bank,2
bank_2,esaf small finance bank,1
bank_2,federal bank,4
bank_2,fincare small finance bank,2
bank_2,fino payments bank,2
bank_2,firstrand bank,1
bank_2,hdfc bank,3
bank_2,hongkong and shanghai banking corporation,2
bank_2,hsbc bank,2
bank_2,icici bank,4
bank_2,idbi bank,4
bank_2,idfc first bank,3
bank_2,india post payments bank,2
bank_2,indian bank,4
bank_2,indian overseas bank,3
bank_2,indusind bank,4
bank_2,ing vysya bank,2
bank_2,jammu and kashmir bank,4
bank_2,jana small finance bank,2
bank_2,jio payments bank,2
bank_2,karnataka bank,2
bank_2,karur vysya bank,3
bank_2,kotak mahindra bank,4
bank_2,lakshmi vilas bank,2
bank_2,nainital bank,1
bank_2,north east small finance bank,1
bank_2,nsdl payments bank,1
bank_2,oman international bank,1
bank_2,paytm payments bank,2
bank_2,punjab and sind bank,3
bank_2,punjab national bank,4
bank_2,rbl bank,4
bank_2,rbs abn amro,2
